reservoir,pcode,year,month,mean_cfs,n_days,volume_af,water_year
BUM,QD,2003,10,136.2258064516129,31,8376.198347107438,2004
BUM,QD,2003,11,131.53333333333333,30,7826.7768595041325,2004
BUM,QD,2003,12,210.51612903225808,31,12944.13223140496,2004
BUM,QD,2004,1,132.93548387096774,31,8173.884297520662,2004
BUM,QD,2004,2,150.75862068965517,29,8671.735537190083,2004
BUM,QD,2004,3,144.7741935483871,31,8901.818181818182,2004
BUM,QD,2004,4,145.66666666666666,30,8667.768595041323,2004
BUM,QD,2004,5,566.3548387096774,31,34823.801652892565,2004
BUM,QD,2004,6,430.1333333333333,30,25594.710743801654,2004
BUM,QD,2004,7,226.03225806451613,31,13898.181818181818,2004
BUM,QD,2004,8,195.32258064516128,31,12009.917355371901,2004
BUM,QD,2004,9,172.66666666666666,30,10274.380165289256,2004
BUM,QD,2004,10,141.93548387096774,31,8727.272727272728,2005
BUM,QD,2004,11,147.36666666666667,30,8768.92561983471,2005
BUM,QD,2004,12,167.09677419354838,31,10274.380165289256,2005
BUM,QD,2005,1,306.48387096774195,31,18844.95867768595,2005
BUM,QD,2005,2,131.78571428571428,28,7319.00826446281,2005
BUM,QD,2005,3,97.83870967741936,31,6015.8677685950415,2005
BUM,QD,2005,4,209.73333333333332,30,12480,2005
BUM,QD,2005,5,376.4193548387097,31,23145.12396694215,2005
BUM,QD,2005,6,183.2,30,10901.157024793389,2005
BUM,QD,2005,7,175.41935483870967,31,10786.11570247934,2005
BUM,QD,2005,8,175.83870967741936,31,10811.900826446281,2005
BUM,QD,2005,9,158.8,30,9449.256198347108,2005
BUM,QD,2005,10,123.51612903225806,31,7594.710743801653,2006
BUM,QD,2005,11,121.16666666666667,30,7209.917355371901,2006
BUM,QD,2005,12,132.03225806451613,31,8118.347107438017,2006
BUM,QD,2006,1,276.48387096774195,31,17000.330578512396,2006
BUM,QD,2006,2,204,28,11329.586776859505,2006
BUM,QD,2006,3,161.8709677419355,31,9953.05785123967,2006
BUM,QD,2006,4,178.43333333333334,30,10617.520661157025,2006
BUM,QD,2006,5,839.0322580645161,31,51590.0826446281,2006
BUM,QD,2006,6,888.8,30,52887.27272727273,2006
