Date,Basin,snow_cover_pct,swe_min_in,swe_mean_in,swe_max_in,depth_min_in,depth_mean_in,depth_max_in,n_hours,area_acres,snow_storage_acre_feet,reservoir
2026-04-19,BUDW1IL,99.93333333333334,0.02,12.867916666666666,35.02,0.03,35.55833333333333,86.06,24,16732,17942.165138888886,BUM
2026-04-19,BUDW1IU,100,11.67,34.6875,58.22,33.85,83.93458333333334,131.71,24,28826,83325.15625,BUM
2026-04-19,CLUW1IL,75.72916666666667,0,6.26125,36.03,0,17.862916666666667,88.69,24,46923,24483.052812500002,CLE
2026-04-19,CLUW1IU,100,0.82,31.121666666666666,83.73,2.84,76.23625,186.39,24,78639,203948.06208333332,CLE
2026-04-19,KADW1IL,80.25416666666666,0,7.057916666666666,37.71,0,19.547083333333333,92.36,24,20598,12114.913958333334,KAC
2026-04-19,KADW1IU,100,2.35,21.679166666666667,48.4,7.76,57.325833333333335,115.48,24,16270,29393.336805555555,KAC
2026-04-19,KEDW1IL,97.825,0,11.8125,34.54,0,33.045833333333334,88.28,24,20603,20281.078125,KEE
2026-04-19,KEDW1IU,100,9.49,24.49125,49.13,28.81,64.43083333333334,118.35,24,11231,22921.7690625,KEE
2026-04-19,RILW1IG,100,9.17,59.5075,86.74,28.19,133.24333333333334,184.58,24,3807,18878.754375,RIM
2026-04-19,RILW1IL,60.27916666666667,0,2.1933333333333334,22.14,0,6.879583333333334,59.08,24,43942,8031.6211111111115,RIM
2026-04-19,RILW1IU,99.45,0,24.950416666666666,87.03,0,62.28,184.94,24,70273,146111.71920138889,RIM
