Date,Basin,snow_cover_pct,swe_min_in,swe_mean_in,swe_max_in,depth_min_in,depth_mean_in,depth_max_in,n_hours,area_acres,snow_storage_acre_feet,reservoir
2012-10-01,BUDW1IL,0,0,0,0,0,0,0,24,16732,0,BUM
2012-10-02,BUDW1IL,0,0,0,0,0,0,0,24,16732,0,BUM
2012-10-03,BUDW1IL,0,0,0,0,0,0,0,24,16732,0,BUM
2012-10-04,BUDW1IL,0,0,0,0,0,0,0,24,16732,0,BUM
2012-10-05,BUDW1IL,0,0,0,0,0,0,0,24,16732,0,BUM
2012-10-06,BUDW1IL,0,0,0,0,0,0,0,24,16732,0,BUM
2012-10-07,BUDW1IL,0,0,0,0,0,0,0,24,16732,0,BUM
2012-10-08,BUDW1IL,0,0,0,0,0,0,0,24,16732,0,BUM
2012-10-09,BUDW1IL,0,0,0,0,0,0,0,24,16732,0,BUM
2012-10-10,BUDW1IL,0,0,0,0,0,0,0,24,16732,0,BUM
2012-10-11,BUDW1IL,0,0,0,0,0,0,0,24,16732,0,BUM
2012-10-12,BUDW1IL,0,0,0,0,0,0,0,24,16732,0,BUM
2012-10-13,BUDW1IL,0,0,0,0,0,0,0,24,16732,0,BUM
2012-10-14,BUDW1IL,0,0,0,0,0,0,0,24,16732,0,BUM
2012-10-15,BUDW1IL,0,0,0,0,0,0,0,24,16732,0,BUM
2012-10-16,BUDW1IL,0,0,0,0,0,0,0,24,16732,0,BUM
2012-10-17,BUDW1IL,0,0,0,0,0,0,0,24,16732,0,BUM
2012-10-18,BUDW1IL,0,0,0,0,0,0,0,24,16732,0,BUM
2012-10-19,BUDW1IL,0,0,0,0,0,0,0,24,16732,0,BUM
2012-10-20,BUDW1IL,57.62916666666667,0,0.12958333333333333,0.57,0,1.024166666666667,5.04,24,16732,180.6823611111111,BUM
2012-10-21,BUDW1IL,99.65,0,0.5445833333333333,1,0,4.6325,8.29,24,16732,759.3306944444444,BUM
2012-10-22,BUDW1IL,100,0.1,0.7212500000000001,1.3,0.47,5.575,10.53,24,16732,1005.6629166666668,BUM
2012-10-23,BUDW1IL,100,0.23,1.1308333333333334,1.63,0.85,8.895,12.84,24,16732,1576.7586111111111,BUM
2012-10-24,BUDW1IL,100,0.34,1.3491666666666666,1.95,1.9,10.096666666666668,14.72,24,16732,1881.1880555555551,BUM
2012-10-25,BUDW1IL,100,0.46,1.4933333333333334,2.02,2.23,10.526666666666667,14.66,24,16732,2082.204444444445,BUM
2012-10-26,BUDW1IL,100,0.39,1.5158333333333334,2.2,1.78,10.002083333333331,14.45,24,16732,2113.5769444444445,BUM
2012-10-27,BUDW1IL,100,0.28,1.6541666666666666,2.62,0.99,9.362916666666669,14.47,24,16732,2306.459722222222,BUM
2012-10-28,BUDW1IL,99.24166666666666,0,1.4570833333333333,2.8,0,5.172083333333333,13.4,24,16732,2031.659861111111,BUM
2012-10-29,BUDW1IL,79.82916666666667,0,0.69625,2.14,0,2.337083333333333,7.31,24,16732,970.8045833333332,BUM
2012-10-30,BUDW1IL,41.891666666666666,0,0.18666666666666668,1.25,0,0.66375,4.39,24,16732,260.27555555555557,BUM
2012-10-31,BUDW1IL,13.6,0,0.03708333333333333,1.07,0,0.12208333333333334,2.91,24,16732,51.70652777777779,BUM
2012-11-01,BUDW1IL,1.575,0,4.166666666666667e-4,0.31,0,0.0075,1.16,24,16732,0.5809722222222222,BUM
2012-11-02,BUDW1IL,0.06666666666666667,0,0,0.08,0,0,0.29,24,16732,0,BUM
2012-11-03,BUDW1IL,0,0,0,0,0,0,0,24,16732,0,BUM
2012-11-04,BUDW1IL,0,0,0,0,0,0,0,24,16732,0,BUM
2012-11-05,BUDW1IL,0.1625,0,0.0025,0.06,0,0.02,0.61,24,16732,3.4858333333333333,BUM
2012-11-06,BUDW1IL,0,0,0,0,0,0,0,24,16732,0,BUM
2012-11-07,BUDW1IL,0,0,0,0.01,0,0.00541666666666666,0.14,24,16732,0,BUM
2012-11-08,BUDW1IL,19.441666666666663,0,0.01791666666666666,0.09,0,0.19083333333333333,0.86,24,16732,24.981805555555557,BUM
2012-11-09,BUDW1IL,98.27916666666668,0,0.10375,0.15,0,0.9129166666666666,1.35,24,16732,144.66208333333333,BUM
2012-11-10,BUDW1IL,98.38333333333333,0.01,0.19,0.38,0.02,1.6695833333333334,3.42,24,16732,264.92333333333335,BUM
2012-11-11,BUDW1IL,100,0.17,0.31333333333333335,0.44,1.51,2.67375,3.69,24,16732,436.8911111111111,BUM
2012-11-12,BUDW1IL,100,0.21,1.2179166666666668,1.92,1.55,10.140416666666669,15.12,24,16732,1698.1818055555557,BUM
2012-11-13,BUDW1IL,100,1.26,1.6920833333333334,2.48,7.08,11.945,18.01,24,16732,2359.3281944444443,BUM
2012-11-14,BUDW1IL,100,0.98,1.700416666666667,2.55,4.62,11.12875,17.52,24,16732,2370.947638888889,BUM
2012-11-15,BUDW1IL,100,0.91,1.6420833333333331,2.55,4.02,10.175833333333332,16.91,24,16732,2289.6115277777776,BUM
2012-11-16,BUDW1IL,100,0.91,1.6558333333333333,2.61,4.01,9.879166666666666,16.06,24,16732,2308.783611111111,BUM
2012-11-17,BUDW1IL,100,0.89,1.79,2.82,3.21,9.690833333333334,16.06,24,16732,2495.8566666666666,BUM
2012-11-18,BUDW1IL,100,0.96,2.085,3.48,3.64,11.762083333333331,21.28,24,16732,2907.185,BUM
2012-11-19,BUDW1IL,100,1.31,3.192083333333333,6.15,3.83,19.189166666666665,35.6,24,16732,4450.828194444444,BUM
2012-11-20,BUDW1IL,100,0.94,3.97625,6.71,3.14,15.231666666666667,30.77,24,16732,5544.2179166666665,BUM
2012-11-21,BUDW1IL,100,0.9,4.150416666666667,7.38,3.02,17.75,37.12,24,16732,5787.064305555556,BUM
2012-11-22,BUDW1IL,100,1.48,4.654166666666667,7.51,7.35,22.1275,37.65,24,16732,6489.459722222223,BUM
2012-11-23,BUDW1IL,100,1.55,4.96875,9.5,7.98,22.211666666666662,39.77,24,16732,6928.09375,BUM
2012-11-24,BUDW1IL,100,2.08,5.36125,9.89,7.22,18.949583333333333,36.93,24,16732,7475.369583333333,BUM
2012-11-25,BUDW1IL,100,1.97,4.974583333333333,9.25,7.1,18.06041666666667,33.18,24,16732,6936.227361111111,BUM
2012-11-26,BUDW1IL,100,1.97,4.795833333333333,9.03,7.08,17.45875,32.7,24,16732,6686.990277777778,BUM
2012-11-27,BUDW1IL,100,1.96,4.662916666666667,8.82,7.06,16.992083333333333,31.98,24,16732,6501.660138888889,BUM
2012-11-28,BUDW1IL,100,1.96,4.879583333333334,9.58,7.06,17.777916666666666,34.62,24,16732,6803.765694444444,BUM
2012-11-29,BUDW1IL,100,2.07,5.255833333333333,9.92,7.75,19.28125,35.16,24,16732,7328.383611111111,BUM
2012-11-30,BUDW1IL,100,2.37,5.6275,10.2,7.58,20.822916666666668,37.31,24,16732,7846.610833333334,BUM
2012-12-01,BUDW1IL,100,2.16,5.98875,10.83,7.49,22.294166666666666,41.5,24,16732,8350.31375,BUM
2012-12-02,BUDW1IL,100,2.1,6.350416666666667,11.71,7.34,26.54083333333333,49.62,24,16732,8854.597638888888,BUM
2012-12-03,BUDW1IL,100,2.59,7.234166666666667,12.94,9.43,33.1575,56.99,24,16732,10086.83972222222,BUM
2012-12-04,BUDW1IL,100,2.27,7.889166666666666,14.18,7.94,35.02625,62.1,24,16732,11000.128055555557,BUM
2012-12-05,BUDW1IL,100,2.09,8.24125,14.48,7.46,32.54291666666666,56.73,24,16732,11491.049583333335,BUM
2012-12-06,BUDW1IL,100,1.99,8.088333333333333,14.61,7.49,31.5375,56.74,24,16732,11277.832777777778,BUM
2012-12-07,BUDW1IL,100,2.33,8.969166666666666,16.17,10.8,39.59,69.72,24,16732,12506.008055555554,BUM
2012-12-08,BUDW1IL,100,3.75,10.00625,16.62,22.61,46.97208333333333,71.27,24,16732,13952.047916666666,BUM
2012-12-09,BUDW1IL,100,4.07,10.177916666666668,16.71,23.14,46.04,69.68,24,16732,14191.408472222223,BUM
2012-12-10,BUDW1IL,100,4.14,10.267083333333334,16.71,22.44,44.41166666666667,66.93,24,16732,14315.73652777778,BUM
2012-12-11,BUDW1IL,100,4.5,10.287083333333332,16.27,22.75,42.75875,62.21,24,16732,14343.623194444444,BUM
2012-12-12,BUDW1IL,100,4.6,10.52375,16.6,23.43,43.61666666666667,62.95,24,16732,14673.615416666666,BUM
2012-12-13,BUDW1IL,100,4.75,10.801666666666666,17.16,23.75,43.87375,64.05,24,16732,15061.123888888887,BUM
2012-12-14,BUDW1IL,100,4.95,11.105416666666668,17.55,24.12,44.97416666666667,65.83,24,16732,15484.652638888889,BUM
2012-12-15,BUDW1IL,100,5.23,11.30375,17.9,25.82,45.70333333333333,67.23,24,16732,15761.195416666666,BUM
2012-12-16,BUDW1IL,100,5.65,12.075,18.79,29.6,51.88791666666667,74.89,24,16732,16836.574999999997,BUM
2012-12-17,BUDW1IL,100,6.38,13.87125,21.59,35.01,66.06130434782608,95.74,24,16732,19341.14625,BUM
2012-12-18,BUDW1IL,100,8.83,15.33625,22.42,52.9,74.68916666666667,101.39,24,16732,21383.844583333335,BUM
2012-12-19,BUDW1IL,100,9.42,15.85375,23.32,51.5,73.95416666666667,99.42,24,16732,22105.412083333333,BUM
2012-12-20,BUDW1IL,100,10.22,17.389166666666668,25.23,56.79,82.84041666666667,108.71,24,16732,24246.29472222222,BUM
2012-12-21,BUDW1IL,100,12.15,18.022916666666667,25.44,61.93,82.0325,108.6,24,16732,25129.953472222223,BUM
2012-12-22,BUDW1IL,100,12.32,18.487916666666667,25.95,62.08,81.55416666666666,104.51,24,16732,25778.31847222222,BUM
2012-12-23,BUDW1IL,100,12.94,18.764583333333334,26.14,61.21,79.77708333333334,102.79,24,16732,26164.08402777778,BUM
2012-12-24,BUDW1IL,100,13.13,19.0925,26.46,60.94,79.335,101.33,24,16732,26621.309166666662,BUM
2012-12-25,BUDW1IL,100,13.33,19.29,27.13,59.39,78.1125,102.74,24,16732,26896.69,BUM
2012-12-26,BUDW1IL,100,13.68,20.16125,28.13,59.73,81.74708333333334,104.47,24,16732,28111.502916666665,BUM
2012-12-27,BUDW1IL,100,13.73,20.6225,28.69,59.48,81.96291666666667,105.86,24,16732,28754.639166666668,BUM
2012-12-28,BUDW1IL,100,14.08,20.81,28.69,58.8,80.79833333333333,105,24,16732,29016.076666666668,BUM
2012-12-29,BUDW1IL,100,14.08,20.812916666666663,28.73,57.48,78.48375,101.76,24,16732,29020.143472222226,BUM
2012-12-30,BUDW1IL,100,14.12,20.859166666666667,28.75,56.3,77.02,99.7,24,16732,29084.631388888887,BUM
2012-12-31,BUDW1IL,100,14.13,20.853333333333335,28.75,55.15,75.41833333333334,97.71,24,16732,29076.49777777778,BUM
2013-01-01,BUDW1IL,100,14.13,20.85,28.74,54.17,74.04208333333334,95.88,24,16732,29071.85,BUM
2013-01-02,BUDW1IL,100,14.13,20.84916666666667,28.73,53.31,72.83416666666666,94.3,24,16732,29070.68805555556,BUM
2013-01-03,BUDW1IL,100,14.13,20.84,28.72,52.56,71.76958333333333,92.87,24,16732,29057.906666666662,BUM
2013-01-04,BUDW1IL,100,14.13,21.01,29.02,52.45,72.4675,93.78,24,16732,29294.943333333336,BUM
2013-01-05,BUDW1IL,100,14.37,21.105,29.15,53.37,72.29416666666667,93.33,24,16732,29427.405,BUM
2013-01-06,BUDW1IL,100,14.51,21.369583333333335,29.38,54.61,73.8375,94.88,24,16732,29796.322361111113,BUM
2013-01-07,BUDW1IL,100,14.67,21.936666666666667,30.76,55.09,77.55958333333334,104.18,24,16732,30587.025555555556,BUM
2013-01-08,BUDW1IL,100,15.82,22.824583333333333,31.7,60.36,81.83333333333333,108.6,24,16732,31825.07736111111,BUM
2013-01-09,BUDW1IL,100,16.5,23.562916666666663,32.42,58.11,81.90739130434783,108.55,24,16732,32854.56013888889,BUM
2013-01-10,BUDW1IL,100,16.6,23.883333333333333,32.57,58.91,82.82333333333334,108.74,24,16732,33301.32777777778,BUM
2013-01-11,BUDW1IL,100,16.6,23.909583333333337,32.33,60.29,81.89458333333333,114.19,24,16732,33337.929027777776,BUM
2013-01-12,BUDW1IL,100,16.61,23.91,32.33,59.37,80.32333333333334,104.58,24,16732,33338.51,BUM
2013-01-13,BUDW1IL,100,16.61,23.90833333333333,32.33,58.56,79.20958333333333,103.01,24,16732,33336.18611111111,BUM
2013-01-14,BUDW1IL,100,16.6,23.9,32.32,57.84,78.21166666666667,101.61,24,16732,33324.566666666666,BUM
2013-01-15,BUDW1IL,100,16.58,23.894583333333333,32.32,56.9,77.23833333333333,100.35,24,16732,33317.014027777775,BUM
2013-01-16,BUDW1IL,100,16.49,23.8175,32.27,55.62,75.6175,98.33,24,16732,33209.534166666665,BUM
