year,month,station_id,reservoir,volume_af,water_year
1991,1,SYSTEM,ALL,131933.023,1991
1991,2,SYSTEM,ALL,218712.12300000002,1991
1991,3,SYSTEM,ALL,95301.337,1991
1991,4,SYSTEM,ALL,194847.07700000002,1991
1991,5,SYSTEM,ALL,277551.418,1991
1991,6,SYSTEM,ALL,243974.223,1991
1991,7,SYSTEM,ALL,164467.96,1991
1991,8,SYSTEM,ALL,65894.04699999999,1991
1991,9,SYSTEM,ALL,37505.5327,1991
1991,10,SYSTEM,ALL,26499.8568,1992
1991,11,SYSTEM,ALL,108674.72899999999,1992
1991,12,SYSTEM,ALL,129817.947,1992
1992,1,SYSTEM,ALL,116589.571,1992
1992,2,SYSTEM,ALL,110200.258,1992
1992,3,SYSTEM,ALL,162781.519,1992
1992,4,SYSTEM,ALL,204217.325,1992
1992,5,SYSTEM,ALL,211083.32799999998,1992
1992,6,SYSTEM,ALL,95272.3707,1992
1992,7,SYSTEM,ALL,49691.6067,1992
1992,8,SYSTEM,ALL,30054.0708,1992
1992,9,SYSTEM,ALL,42452.3928,1992
1992,10,SYSTEM,ALL,33706.734,1993
1992,11,SYSTEM,ALL,74059.5247,1993
1992,12,SYSTEM,ALL,50163.9275,1993
1993,1,SYSTEM,ALL,64407.740300000005,1993
1993,2,SYSTEM,ALL,43262.9481,1993
1993,3,SYSTEM,ALL,113868.078,1993
1993,4,SYSTEM,ALL,173686.856,1993
1993,5,SYSTEM,ALL,381719.232,1993
1993,6,SYSTEM,ALL,155890.549,1993
1993,7,SYSTEM,ALL,70863.0307,1993
1993,8,SYSTEM,ALL,35144.1372,1993
1993,9,SYSTEM,ALL,23079.5103,1993
1993,10,SYSTEM,ALL,24490.816700000003,1994
1993,11,SYSTEM,ALL,26753.221,1994
1993,12,SYSTEM,ALL,42454.7004,1994
1994,1,SYSTEM,ALL,75863.734,1994
1994,2,SYSTEM,ALL,43435.7575,1994
1994,3,SYSTEM,ALL,126356.298,1994
1994,4,SYSTEM,ALL,239559.047,1994
1994,5,SYSTEM,ALL,261163.271,1994
1994,6,SYSTEM,ALL,135193.00600000002,1994
1994,7,SYSTEM,ALL,66775.3675,1994
1994,8,SYSTEM,ALL,29760.0288,1994
