Date,reservoir,swe_mean_in,acres,snow_storage_acre_feet,source,water_year
2003-10-01,BUM,0,44415,0,CE,2004
2003-10-02,BUM,0,44415,0,CE,2004
2003-10-03,BUM,0,44415,0,CE,2004
2003-10-04,BUM,0,44415,0,CE,2004
2003-10-05,BUM,0,44415,0,CE,2004
2003-10-06,BUM,0,44415,0,CE,2004
2003-10-07,BUM,0,44415,0,CE,2004
2003-10-08,BUM,0,44415,0,CE,2004
2003-10-09,BUM,0,44415,0,CE,2004
2003-10-10,BUM,0,44415,0,CE,2004
2003-10-11,BUM,0,44415,0,CE,2004
2003-10-12,BUM,0,44415,0,CE,2004
2003-10-13,BUM,5e-4,44415,1.850625,CE,2004
2003-10-14,BUM,0,44415,0,CE,2004
2003-10-15,BUM,0,44415,0,CE,2004
2003-10-16,BUM,0,44415,0,CE,2004
2003-10-17,BUM,0,44415,0,CE,2004
2003-10-18,BUM,0,44415,0,CE,2004
2003-10-19,BUM,0,44415,0,CE,2004
2003-10-20,BUM,0,44415,0,CE,2004
2003-10-21,BUM,0,44415,0,CE,2004
2003-10-22,BUM,0,44415,0,CE,2004
2003-10-23,BUM,0,44415,0,CE,2004
2003-10-24,BUM,0,44415,0,CE,2004
2003-10-25,BUM,0,44415,0,CE,2004
2003-10-26,BUM,0,44415,0,CE,2004
2003-10-27,BUM,0,44415,0,CE,2004
2003-10-28,BUM,0,44415,0,CE,2004
2003-10-29,BUM,0,44415,0,CE,2004
2003-10-31,BUM,0.0391,44415,144.718875,CE,2004
2003-11-01,BUM,0.0309,44415,114.368625,CE,2004
2003-11-02,BUM,0.0434,44415,160.63425,CE,2004
2003-11-03,BUM,0.1419,44415,525.207375,CE,2004
2003-11-04,BUM,0.1393,44415,515.584125,CE,2004
2003-11-05,BUM,0.1377,44415,509.662125,CE,2004
2003-11-06,BUM,0.1344,44415,497.448,CE,2004
2003-11-07,BUM,0.129,44415,477.46125,CE,2004
2003-11-08,BUM,0.1261,44415,466.727625,CE,2004
2003-11-09,BUM,0.1202,44415,444.89025,CE,2004
2003-11-10,BUM,0.0607,44415,224.665875,CE,2004
2003-11-11,BUM,0.2372,44415,877.9365,CE,2004
2003-11-12,BUM,0.5113,44415,1892.449125,CE,2004
2003-11-13,BUM,1.2862,44415,4760.54775,CE,2004
2003-11-14,BUM,1.2755,44415,4720.944375,CE,2004
2003-11-15,BUM,1.2652,44415,4682.8215,CE,2004
2003-11-16,BUM,1.2759,44415,4722.424875,CE,2004
2003-11-17,BUM,1.667,44415,6169.98375,CE,2004
2003-11-18,BUM,2.1467,44415,7945.473375,CE,2004
2003-11-19,BUM,2.2023,44415,8151.262875,CE,2004
2003-11-20,BUM,3.2986,44415,12208.94325,CE,2004
2003-11-21,BUM,3.319,44415,12284.44875,CE,2004
2003-11-22,BUM,3.3145,44415,12267.79313,CE,2004
2003-11-23,BUM,3.3121,44415,12258.91013,CE,2004
2003-11-24,BUM,3.3631,44415,12447.67388,CE,2004
2003-11-25,BUM,3.9208,44415,14511.861,CE,2004
2003-11-26,BUM,4.2069,44415,15570.78863,CE,2004
2003-11-27,BUM,4.2358,44415,15677.75475,CE,2004
2003-11-28,BUM,4.2321,44415,15664.06013,CE,2004
2003-11-29,BUM,4.7945,44415,17745.64313,CE,2004
2003-11-30,BUM,4.9169,44415,18198.67613,CE,2004
2003-12-01,BUM,4.8914,44415,18104.29425,CE,2004
2003-12-02,BUM,4.9473,44415,18311.19413,CE,2004
2003-12-03,BUM,6.3137,44415,23368.58213,CE,2004
2003-12-04,BUM,6.3316,44415,23434.8345,CE,2004
2003-12-05,BUM,6.4269,44415,23787.56363,CE,2004
2003-12-06,BUM,6.7751,44415,25076.33888,CE,2004
2003-12-07,BUM,6.7734,44415,25070.04675,CE,2004
2003-12-08,BUM,6.8333,44415,25291.75163,CE,2004
2003-12-09,BUM,7.6393,44415,28274.95913,CE,2004
2003-12-10,BUM,7.8663,44415,29115.14288,CE,2004
2003-12-11,BUM,8.1953,44415,30332.85413,CE,2004
2003-12-12,BUM,8.1947,44415,30330.63338,CE,2004
2003-12-13,BUM,8.304,44415,30735.18,CE,2004
2003-12-14,BUM,8.7262,44415,32297.84775,CE,2004
2003-12-15,BUM,8.7601,44415,32423.32013,CE,2004
2003-12-16,BUM,8.7583,44415,32416.65788,CE,2004
2003-12-17,BUM,10.9956,44415,40697.4645,CE,2004
2003-12-18,BUM,10.9895,44415,40674.88688,CE,2004
2003-12-19,BUM,10.983,44415,40650.82875,CE,2004
2003-12-20,BUM,11.0101,44415,40751.13263,CE,2004
2003-12-21,BUM,11.0122,44415,40758.90525,CE,2004
2003-12-22,BUM,11.017,44415,40776.67125,CE,2004
2003-12-23,BUM,11.6135,44415,42984.46688,CE,2004
2003-12-24,BUM,11.6711,44415,43197.65888,CE,2004
2003-12-25,BUM,11.8298,44415,43785.04725,CE,2004
2003-12-26,BUM,11.8458,44415,43844.26725,CE,2004
2003-12-27,BUM,11.8446,44415,43839.82575,CE,2004
2003-12-28,BUM,11.9463,44415,44216.24288,CE,2004
2003-12-29,BUM,12.0047,44415,44432.39588,CE,2004
2003-12-30,BUM,13.511,44415,50007.58875,CE,2004
2003-12-31,BUM,13.5057,44415,49987.97213,CE,2004
2004-01-01,BUM,13.5175,44415,50031.64688,CE,2004
2004-01-02,BUM,13.8262,44415,51174.22275,CE,2004
2004-01-03,BUM,14.0508,44415,52005.5235,CE,2004
2004-01-04,BUM,14.4949,44415,53649.24863,CE,2004
2004-01-05,BUM,14.5035,44415,53681.07938,CE,2004
2004-01-06,BUM,15.759,44415,58327.99875,CE,2004
2004-01-07,BUM,16.563,44415,61303.80375,CE,2004
2004-01-08,BUM,17.0344,44415,63048.573,CE,2004
2004-01-09,BUM,17.0971,44415,63280.64138,CE,2004
2004-01-10,BUM,17.2132,44415,63710.3565,CE,2004
2004-01-11,BUM,17.2119,44415,63705.54488,CE,2004
2004-01-12,BUM,17.2044,44415,63677.7855,CE,2004
2004-01-13,BUM,20.2755,44415,75044.69438,CE,2004
2004-01-14,BUM,20.2663,44415,75010.64288,CE,2004
2004-01-15,BUM,20.4162,44415,75565.46025,CE,2004
2004-01-16,BUM,21.5183,44415,79644.60788,CE,2004
2004-01-17,BUM,21.517,44415,79639.79625,CE,2004
2004-01-18,BUM,21.5146,44415,79630.91325,CE,2004
2004-01-19,BUM,21.5462,44415,79747.87275,CE,2004
2004-01-20,BUM,21.5439,44415,79739.35988,CE,2004
2004-01-21,BUM,21.5411,44415,79728.99638,CE,2004
2004-01-22,BUM,21.54,44415,79724.925,CE,2004
2004-01-23,BUM,21.5489,44415,79757.86613,CE,2004
2004-01-24,BUM,22.1751,44415,82075.58888,CE,2004
2004-01-25,BUM,22.4075,44415,82935.75938,CE,2004
2004-01-26,BUM,22.4668,44415,83155.2435,CE,2004
2004-01-27,BUM,22.5667,44415,83524.99838,CE,2004
2004-01-28,BUM,22.5822,44415,83582.36775,CE,2004
2004-01-29,BUM,23.193,44415,85843.09125,CE,2004
2004-01-30,BUM,23.6637,44415,87585.26963,CE,2004
2004-01-31,BUM,24.1159,44415,89258.97488,CE,2004
2004-02-01,BUM,24.1405,44415,89350.02563,CE,2004
2004-02-02,BUM,24.1697,44415,89458.10213,CE,2004
2004-02-03,BUM,24.4779,44415,90598.82738,CE,2004
2004-02-04,BUM,24.4748,44415,90587.3535,CE,2004
2004-02-05,BUM,28.7439,44415,106388.3599,CE,2004
2004-02-06,BUM,28.7391,44415,106370.5939,CE,2004
2004-02-07,BUM,28.7615,44415,106453.5019,CE,2004
2004-02-08,BUM,28.7672,44415,106474.599,CE,2004
2004-02-09,BUM,28.7624,44415,106456.833,CE,2004
2004-02-10,BUM,28.7584,44415,106442.028,CE,2004
2004-02-11,BUM,29.4515,44415,109007.3644,CE,2004
2004-02-12,BUM,29.4463,44415,108988.1179,CE,2004
2004-02-13,BUM,29.4349,44415,108945.9236,CE,2004
2004-02-14,BUM,29.4405,44415,108966.6506,CE,2004
2004-02-15,BUM,29.4817,44415,109119.1421,CE,2004
2004-02-16,BUM,29.4853,44415,109132.4666,CE,2004
2004-02-17,BUM,29.6518,44415,109748.7248,CE,2004
2004-02-18,BUM,31.213,44415,115527.1163,CE,2004
2004-02-19,BUM,31.2115,44415,115521.5644,CE,2004
2004-02-20,BUM,32.256100000000004,44415,119387.8901,CE,2004
2004-02-21,BUM,32.2536,44415,119378.637,CE,2004
2004-02-22,BUM,32.2502,44415,119366.0528,CE,2004
2004-02-23,BUM,32.2449,44415,119346.4361,CE,2004
2004-02-24,BUM,32.6091,44415,120694.4314,CE,2004
2004-02-26,BUM,32.8318,44415,121518.6998,CE,2004
2004-02-27,BUM,33.4219,44415,123702.8074,CE,2004
2004-02-28,BUM,33.4397,44415,123768.6896,CE,2004
2004-02-29,BUM,33.4562,44415,123829.7603,CE,2004
2004-03-01,BUM,33.4571,44415,123833.0914,CE,2004
2004-03-02,BUM,34.1762,44415,126494.6603,CE,2004
2004-03-03,BUM,34.1727,44415,126481.7059,CE,2004
2004-03-04,BUM,34.2949,44415,126933.9986,CE,2004
2004-03-05,BUM,34.9981,44415,129536.7176,CE,2004
2004-03-06,BUM,35.3115,44415,130696.6894,CE,2004
2004-03-07,BUM,35.3917,44415,130993.5296,CE,2004
2004-03-08,BUM,35.4151,44415,131080.1389,CE,2004
2004-03-09,BUM,36.9563,44415,136784.5054,CE,2004
2004-03-10,BUM,36.9262,44415,136673.0978,CE,2004
2004-03-11,BUM,36.8931,44415,136550.5864,CE,2004
2004-03-12,BUM,37.4617,44415,138655.1171,CE,2004
2004-03-13,BUM,37.4252,44415,138520.0215,CE,2004
2004-03-14,BUM,37.4057,44415,138447.8471,CE,2004
2004-03-15,BUM,37.3779,44415,138344.9524,CE,2004
2004-03-16,BUM,37.3423,44415,138213.1879,CE,2004
2004-03-17,BUM,37.3084,44415,138087.7155,CE,2004
2004-03-18,BUM,37.006,44415,136968.4575,CE,2004
2004-03-19,BUM,37.0226,44415,137029.8983,CE,2004
2004-03-20,BUM,37.0655,44415,137188.6819,CE,2004
2004-03-21,BUM,37.0427,44415,137104.2934,CE,2004
2004-03-22,BUM,37.0052,44415,136965.4965,CE,2004
2004-03-23,BUM,36.9246,44415,136667.1758,CE,2004
2004-03-24,BUM,36.6025,44415,135475.0031,CE,2004
2004-03-25,BUM,36.654,44415,135665.6175,CE,2004
2004-03-26,BUM,37.2146,44415,137740.5383,CE,2004
2004-03-27,BUM,37.2686,44415,137940.4058,CE,2004
2004-03-28,BUM,37.2892,44415,138016.6515,CE,2004
2004-03-29,BUM,37.2649,44415,137926.7111,CE,2004
2004-03-30,BUM,38.8055,44415,143628.8569,CE,2004
2004-03-31,BUM,38.7021,44415,143246.1476,CE,2004
2004-04-01,BUM,38.657,44415,143079.2213,CE,2004
2004-04-02,BUM,38.6266,44415,142966.7033,CE,2004
2004-04-03,BUM,38.6615,44415,143095.8769,CE,2004
2004-04-04,BUM,38.5747,44415,142774.6084,CE,2004
2004-04-05,BUM,38.4272,44415,142228.674,CE,2004
2004-04-06,BUM,38.2664,44415,141633.513,CE,2004
2004-04-07,BUM,38.1624,44415,141248.583,CE,2004
2004-04-08,BUM,37.5402,44415,138945.6653,CE,2004
2004-04-09,BUM,37.3931,44415,138401.2114,CE,2004
2004-04-10,BUM,36.7706,44415,136097.1833,CE,2004
2004-04-11,BUM,36.5397,44415,135242.5646,CE,2004
2004-04-12,BUM,36.1913,44415,133953.0491,CE,2004
2004-04-13,BUM,35.1709,44415,130176.2936,CE,2004
2004-04-14,BUM,34.8234,44415,128890.1093,CE,2004
2004-04-15,BUM,34.6882,44415,128389.7003,CE,2004
2004-04-16,BUM,34.6335,44415,128187.2419,CE,2004
2004-04-17,BUM,34.5781,44415,127982.1926,CE,2004
2004-04-18,BUM,34.5333,44415,127816.3766,CE,2004
2004-04-19,BUM,34.4923,44415,127664.6254,CE,2004
2004-04-20,BUM,33.8905,44415,125437.2131,CE,2004
2004-04-21,BUM,33.8666,44415,125348.7533,CE,2004
2004-04-22,BUM,34.0162,44415,125902.4603,CE,2004
2004-04-23,BUM,33.9513,44415,125662.2491,CE,2004
2004-04-24,BUM,33.8088,44415,125134.821,CE,2004
2004-04-25,BUM,33.7315,44415,124848.7144,CE,2004
